Year,Fishing method,Licences,Days,Tonnes,DiscardNumber
1992,diving,N/A,N/A,N/A,N/A
1993,diving,N/A,N/A,N/A,N/A
1994,diving,45,1636,106.4,0
1995,diving,46,2458,181.12,0
1996,diving,166,8530,357.74,43092
1997,diving,213,13592,461.42,102749.5
1998,diving,292,15491,518.39,118630.5
1999,diving,322,16620,546.95,132048
2000,diving,306,17825,494.07,130121
2001,diving,302,19772,587.95,152344
2002,diving,347,22337,657.54,191790
2003,diving,353,22890,676.1,199325
2004,diving,368,23420,685.85,206952
2005,diving,352,23293,723.56,196775
2006,diving,291,19311,698.72,166998
2007,diving,261,17398,647.61,143859
2008,diving,254,15693,668.83,125338
2009,diving,236,15071,685.22,118757
2010,diving,221,13851,651.52,136947
2011,diving,188,12591,554.87,127136
2012,diving,172,11485,459.98,98954
2013,diving,159,10975,428.91,95486
2014,diving,143,10257,426.02,85356
2015,diving,135,8950,347.42,87078
2016,diving,143,9970,483.28,89718
2017,diving,156,11143,509.32,104625
2018,diving,146,11575,530.32,103158
2019,diving,142,11233,522.47,93053
2020,diving,127,7032,303.59,63286
2021,diving,116,9270,471.91,77000
2022,diving,121,8513,390.39,71005.3
2023,diving,42,595,16.32,5724
