Year,Fishing method,Licences,Days,Tonnes,DiscardNumber
1992,Pot,,,,
1993,Pot,,,,
1994,Pot,,,,
1995,Pot,,,,
1996,Pot,,,,
1997,Pot,,,,
1998,Pot,,,,
1999,Pot,,,,
2000,Pot,N/A,N/A,N/A,N/A
2001,Pot,,,,
2002,Pot,,,,
2003,Pot,,,,
2004,Pot,,,,
2005,Pot,,,,
2006,Pot,N/A,N/A,N/A,N/A
2007,Pot,N/A,N/A,N/A,N/A
2008,Pot,N/A,N/A,N/A,N/A
2009,Pot,N/A,N/A,N/A,N/A
2010,Pot,N/A,N/A,N/A,N/A
2011,Pot,N/A,N/A,N/A,N/A
2012,Pot,,,,
2013,Pot,N/A,N/A,N/A,N/A
2014,Pot,N/A,N/A,N/A,N/A
2015,Pot,N/A,N/A,N/A,N/A
2016,Pot,N/A,N/A,N/A,N/A
2017,Pot,N/A,N/A,N/A,N/A
2018,Pot,N/A,N/A,N/A,N/A
2019,Pot,,,,
2020,Pot,,,,
2021,Pot,,,,
2022,Pot,,,,
2023,Pot,,,,
