Year,Fishing method,Licences,Days,Tonnes,DiscardNumber
1992,Net,,,,
1993,Net,,,,
1994,Net,,,,
1995,Net,,,,
1996,Net,,,,
1997,Net,,,,
1998,Net,,,,
1999,Net,,,,
2000,Net,,,,
2001,Net,,,,
2002,Net,,,,
2003,Net,,,,
2004,Net,,,,
2005,Net,,,,
2006,Net,,,,
2007,Net,,,,
2008,Net,,,,
2009,Net,,,,
2010,Net,,,,
2011,Net,,,,
2012,Net,,,,
2013,Net,,,,
2014,Net,N/A,N/A,N/A,N/A
2015,Net,,,,
2016,Net,,,,
2017,Net,,,,
2018,Net,,,,
2019,Net,,,,
2020,Net,,,,
2021,Net,,,,
2022,Net,,,,
2023,Net,,,,
