Year,Fishing method,Licences,Days,Tonnes,DiscardNumber
1992,Combination,,,,
1993,Combination,,,,
1994,Combination,,,,
1995,Combination,,,,
1996,Combination,,,,
1997,Combination,,,,
1998,Combination,,,,
1999,Combination,N/A,N/A,N/A,N/A
2000,Combination,8,37,0.33,1027
2001,Combination,8,51,4.53,24
2002,Combination,7,55,4.94,228
2003,Combination,21,110,8.32,796
2004,Combination,10,22,1.07,118
2005,Combination,10,60,4.48,137
2006,Combination,7,29,1.87,18
2007,Combination,N/A,N/A,N/A,N/A
2008,Combination,12,172,3.7,3815
2009,Combination,20,265,15.94,4704
2010,Combination,15,137,14.37,1488
2011,Combination,9,45,4.68,72
2012,Combination,13,82,7.59,448
2013,Combination,13,154,14.94,1511
2014,Combination,N/A,N/A,N/A,N/A
2015,Combination,N/A,N/A,N/A,N/A
2016,Combination,N/A,N/A,N/A,N/A
2017,Combination,13,112,14.02,849
2018,Combination,11,88,8.22,665
2019,Combination,6,77,12.7,960
2020,Combination,N/A,N/A,N/A,N/A
2021,Combination,6,31,3.25,3
2022,Combination,8,101,8.16,322
2023,Combination,N/A,N/A,N/A,N/A
